Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T32 Queue;T32 Queue ConfInt;T32 Service;T32 Service ConfInt;T32 System;T32 System ConfInt;T32 Waiting;T32 Waiting ConfInt;T32 Throughput;T32 Throughput ConfInt;T32 RespTime;T32 RespTime ConfInt;T32 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Exe. Time;Exe. Time ConfInt;Big Sequence Lenght;Big Sequence Lenght ConfInt;Big Sequence Amount;Big Sequence Amount ConfInt;Max Big Sequence Length;Max Big Sequence Length ConfInt;Small Sequence Lenght;Small Sequence Lenght ConfInt;Small Sequence Amount;Small Sequence Amount ConfInt;Max Small Sequence Length;Max Small Sequence Length ConfInt;Nstar Big;Nstar Big ConfInt;Nstar Small;Nstar Small ConfInt;Idle Counter;Idle Counter ConfInt;Idle Prob;Idle Prob ConfInt;
0.151266;0.00629061;[0.00628403, 0.0062972];0.0907932;[0.0907631, 0.0908233];0.0970838;[0.0970471, 0.0971205];0.0693108;[0.0692387, 0.069383];0.0907596;[0.0907382, 0.0907811];1.06968;[1.06951, 1.06985];0;0.00987406;[0.00986439, 0.00988374];0.0604989;[0.0604822, 0.0605156];0.070373;[0.0703466, 0.0703993];0.163136;[0.162984, 0.163288];0.0605265;[0.060513, 0.06054];1.16268;[1.16237, 1.16299];0;29.9732;[29.9727, 29.9738];0.0633362;[0.0633196, 0.0633527];0.0161647;[0.0161511, 0.0161783];0.106848;[0.106764, 0.106932];1.10689;[1.1067, 1.10707];25403.5;[23788.4, 27018.7];5.05;[4.92696, 5.17304];1.06984;[1.06978, 1.0699];186981;[186941, 187021];6.45;[6.36849, 6.53151];1.10124;[1.10117, 1.10132];272383;[272342, 272424];7.25;[7.14053, 7.35947];1.00571;[1.00569, 1.00573];1.00626;[1.00624, 1.00627];426443;[426409, 426476];0.85294;[0.852911, 0.852969];
0.302532;0.0293617;[0.0293346, 0.0293888];0.181693;[0.181638, 0.181748];0.211055;[0.210972, 0.211137];0.161744;[0.161602, 0.161886];0.181532;[0.181497, 0.181567];1.16263;[1.16235, 1.16291];0;0.0432248;[0.0431927, 0.0432569];0.120998;[0.120966, 0.12103];0.164223;[0.164158, 0.164287];0.357311;[0.357075, 0.357546];0.120972;[0.120939, 0.121006];1.35752;[1.35718, 1.35787];0;27.9464;[27.9453, 27.9474];0.126676;[0.126644, 0.126708];0.0725865;[0.0725328, 0.0726402];0.239951;[0.239791, 0.240111];1.24057;[1.24034, 1.2408];94458.6;[88479, 100438];4.65;[4.50947, 4.79053];1.1593;[1.1592, 1.15941];172476;[172437, 172514];9.3;[9.18394, 9.41606];1.22777;[1.22766, 1.22787];244386;[244343, 244429];9.5;[9.38712, 9.61288];1.02455;[1.02452, 1.02459];1.02926;[1.02921, 1.02932];357338;[357304, 357373];0.714797;[0.714742, 0.714851];
0.453799;0.078134;[0.0780631, 0.0782048];0.272222;[0.272157, 0.272288];0.350356;[0.35022, 0.350493];0.287014;[0.286753, 0.287275];0.272231;[0.272181, 0.27228];1.28698;[1.28664, 1.28733];0;0.107797;[0.107714, 0.10788];0.181658;[0.181589, 0.181727];0.289455;[0.289303, 0.289607];0.594115;[0.593707, 0.594523];0.181441;[0.181401, 0.181481];1.59531;[1.59471, 1.5959];0;25.9147;[25.9125, 25.917];0.190165;[0.190095, 0.190234];0.185931;[0.18579, 0.186073];0.409835;[0.409544, 0.410126];1.41029;[1.40988, 1.41071];197542;[185011, 210074];5.2;[5.08658, 5.31342];1.27196;[1.2718, 1.27212];157214;[157183, 157244];10.9;[10.8085, 10.9915];1.38581;[1.38562, 1.386];216502;[216466, 216538];11.85;[11.7627, 11.9373];1.06173;[1.06165, 1.06181];1.07713;[1.07703, 1.07722];293246;[293194, 293299];0.586502;[0.586409, 0.586595];
0.605065;0.167786;[0.167589, 0.167984];0.362928;[0.362838, 0.363019];0.530715;[0.530427, 0.531003];0.462162;[0.461652, 0.462672];0.363045;[0.362971, 0.36312];1.46184;[1.46127, 1.46241];0;0.215613;[0.215426, 0.2158];0.242005;[0.24193, 0.242081];0.457618;[0.457356, 0.45788];0.891512;[0.890815, 0.89221];0.24185;[0.24181, 0.24189];1.89216;[1.89129, 1.89302];0;23.8929;[23.8905, 23.8953];0.253347;[0.253271, 0.253423];0.383399;[0.383027, 0.383771];0.633825;[0.633259, 0.634391];1.63389;[1.63322, 1.63456];327322;[306522, 348122];5.4;[5.25469, 5.54531];1.41156;[1.41127, 1.41185];141624;[141588, 141660];12.7;[12.5949, 12.8051];1.58769;[1.58733, 1.58804];189011;[188969, 189054];14.1;[13.9701, 14.2299];1.127;[1.12685, 1.12715];1.16555;[1.16534, 1.16576];234239;[234162, 234316];0.468715;[0.468628, 0.468802];
0.756331;0.327071;[0.32669, 0.327452];0.453581;[0.453432, 0.45373];0.780652;[0.780122, 0.781182];0.720831;[0.720045, 0.721618];0.45374;[0.453649, 0.45383];1.72048;[1.71959, 1.72137];0;0.389424;[0.389039, 0.389809];0.302443;[0.30235, 0.302536];0.691867;[0.691389, 0.692345];1.28777;[1.28654, 1.28899];0.302402;[0.30234, 0.302465];2.2879;[2.28655, 2.28925];0;21.8682;[21.8653, 21.8712];0.316617;[0.316524, 0.316711];0.716495;[0.715755, 0.717236];0.947562;[0.946649, 0.948476];1.94741;[1.94637, 1.94844];476856;[446548, 507163];5.05;[4.93725, 5.16275];1.58501;[1.58467, 1.58535];126160;[126122, 126198];13.55;[13.427, 13.673];1.84492;[1.84446, 1.84538];162629;[162592, 162666];16.9;[16.7193, 17.0807];1.24039;[1.24008, 1.2407];1.32227;[1.32189, 1.32265];180866;[180798, 180934];0.36177;[0.36165, 0.361889];
0.907597;0.617991;[0.617227, 0.618756];0.544584;[0.544445, 0.544722];1.16257;[1.16167, 1.16348];1.13475;[1.13337, 1.13613];0.544606;[0.544497, 0.544715];2.13471;[2.13332, 2.1361];0;0.672827;[0.672062, 0.673592];0.36296;[0.362863, 0.363057];1.03579;[1.03492, 1.03665];1.854;[1.8521, 1.85591];0.362902;[0.362825, 0.362978];2.85417;[2.85216, 2.85617];0;19.8407;[19.8376, 19.8438];0.379978;[0.379881, 0.380075];1.29082;[1.28931, 1.29232];1.42237;[1.42079, 1.42396];2.42241;[2.42078, 2.42405];640331;[599627, 681035];5.2;[5.08135, 5.31865];1.80201;[1.80148, 1.80254];110957;[110926, 110987];15.15;[15.0052, 15.2948];2.18125;[2.18065, 2.18185];137562;[137524, 137600];18.25;[18.13, 18.37];1.44434;[1.4437, 1.44498];1.61154;[1.61082, 1.61226];132818;[132752, 132883];0.265966;[0.265858, 0.266075];
1.05886;1.17813;[1.17661, 1.17965];0.635083;[0.634934, 0.635231];1.81321;[1.81155, 1.81488];1.85453;[1.85221, 1.85685];0.635269;[0.635173, 0.635365];2.85424;[2.85191, 2.85656];0;1.15939;[1.15816, 1.16062];0.423417;[0.423291, 0.423543];1.58281;[1.58145, 1.58416];2.73846;[2.73579, 2.74114];0.42337;[0.423265, 0.423476];3.73858;[3.73578, 3.74137];0;17.8156;[17.8115, 17.8196];0.443263;[0.443137, 0.443389];2.33752;[2.33484, 2.3402];2.20803;[2.20562, 2.21045];3.2079;[3.20543, 3.21037];808277;[756883, 859671];4.6;[4.49904, 4.70096];2.06865;[2.06797, 2.06933];96662.1;[96635.4, 96688.9];16.1;[15.9486, 16.2514];2.61706;[2.61644, 2.61768];114648;[114617, 114680];20.75;[20.6351, 20.8649];1.82695;[1.82588, 1.82802];2.16901;[2.16773, 2.17029];91073.9;[91022.2, 91125.7];0.181939;[0.181833, 0.182046];
1.21013;2.43947;[2.4337, 2.44524];0.726845;[0.72665, 0.727041];3.16631;[3.16035, 3.17228];3.35905;[3.35139, 3.3667];0.726227;[0.726079, 0.726374];4.3599;[4.35217, 4.36763];0;2.13915;[2.13463, 2.14366];0.483748;[0.483609, 0.483888];2.62289;[2.61824, 2.62755];4.42176;[4.41303, 4.43048];0.483767;[0.483661, 0.483874];5.42172;[5.41294, 5.4305];0;15.7932;[15.7887, 15.7977];0.506462;[0.506321, 0.506603];4.57861;[4.56834, 4.58888];3.78393;[3.77585, 3.79201];4.78442;[4.77628, 4.79257];981286;[918898, 1.04367e+06];4.85;[4.73303, 4.96697];2.40509;[2.40413, 2.40605];83118.1;[83085.9, 83150.4];16.15;[15.9714, 16.3286];3.20185;[3.20063, 3.20307];93726.4;[93689.1, 93763.6];22.9;[22.7227, 23.0773];2.68087;[2.67684, 2.6849];3.44136;[3.43624, 3.44648];54777.7;[54708.4, 54846.9];0.10958;[0.109444, 0.109715];
1.3614;6.51673;[6.49161, 6.54184];0.816901;[0.816694, 0.817107];7.33363;[7.3083, 7.35895];7.97936;[7.94905, 8.00967];0.816684;[0.816539, 0.81683];8.97963;[8.94928, 9.00998];0;5.02227;[5.00447, 5.04007];0.54436;[0.5442, 0.54452];5.56663;[5.54867, 5.58459];9.22514;[9.19329, 9.25699];0.544398;[0.544298, 0.544497];10.2251;[10.1931, 10.257];0;13.7636;[13.7585, 13.7687];0.569888;[0.569729, 0.570046];11.539;[11.4961, 11.5819];8.47764;[8.44673, 8.50855];9.47777;[9.4468, 9.50874];1.14432e+06;[1.07156e+06, 1.21709e+06];5.25;[5.12024, 5.37976];2.82;[2.81907, 2.82093];70917.6;[70896.7, 70938.5];16.5;[16.3543, 16.6457];3.97008;[3.96886, 3.9713];75568.9;[75545, 75592.9];25.8;[25.5981, 26.0019];5.42045;[5.40386, 5.43703];7.5543;[7.53121, 7.5774];24648.3;[24604.3, 24692.4];0.0492996;[0.0492109, 0.0493883];
1.37652;7.43726;[7.40399, 7.47054];0.825779;[0.825607, 0.825951];8.26304;[8.2296, 8.29649];9.00952;[8.96934, 9.0497];0.825486;[0.825363, 0.825608];10.0099;[9.96964, 10.0501];0;5.6548;[5.63079, 5.6788];0.550296;[0.550086, 0.550506];6.20509;[6.18088, 6.22931];10.2747;[10.2326, 10.3168];0.550335;[0.55016, 0.550509];11.2747;[11.2324, 11.3169];0;13.5647;[13.558, 13.5715];0.576102;[0.575891, 0.576312];13.0921;[13.0349, 13.1493];9.51561;[9.47465, 9.55658];10.5158;[10.4748, 10.5568];1.16296e+06;[1.08911e+06, 1.23681e+06];5.2;[5.07635, 5.32365];2.86772;[2.86632, 2.86913];69743.2;[69720.3, 69766.1];16.3;[16.1478, 16.4522];4.05906;[4.05748, 4.06064];73908.9;[73874.5, 73943.4];26.15;[25.9615, 26.3385];6.03697;[6.01448, 6.05946];8.47985;[8.44906, 8.51064];21959.8;[21899.1, 22020.4];0.0439006;[0.0437658, 0.0440353];
1.39165;8.73952;[8.68402, 8.79502];0.835009;[0.834824, 0.835195];9.57453;[9.51885, 9.63021];10.4665;[10.4, 10.5331];0.834999;[0.834858, 0.83514];11.4666;[11.4, 11.5331];0;6.5532;[6.51397, 6.59243];0.556439;[0.556259, 0.556618];7.10964;[7.07023, 7.14905];11.7727;[11.7036, 11.8418];0.556615;[0.556496, 0.556734];12.7724;[12.7031, 12.8416];0;13.3589;[13.3533, 13.3646];0.582533;[0.582355, 0.58271];15.2927;[15.198, 15.3874];10.989;[10.9214, 11.0566];11.9889;[11.9212, 12.0565];1.17874e+06;[1.10382e+06, 1.25366e+06];5.4;[5.26781, 5.53219];2.91789;[2.91686, 2.91893];68539;[68520.3, 68557.7];16.5;[16.3207, 16.6793];4.15369;[4.15216, 4.15522];72227.9;[72198.7, 72257];26.25;[25.9716, 26.5284];6.91331;[6.87704, 6.94959];9.76984;[9.71986, 9.81981];19221;[19174.4, 19267.7];0.0383703;[0.0382958, 0.0384449];
1.40678;10.2287;[10.1793, 10.2782];0.843907;[0.843687, 0.844128];11.0726;[11.023, 11.1223];12.1204;[12.0623, 12.1784];0.843917;[0.843742, 0.844092];13.1203;[13.0623, 13.1784];0;7.56377;[7.52996, 7.59758];0.562498;[0.562327, 0.562669];8.12627;[8.09229, 8.16025];13.4449;[13.3854, 13.5044];0.562569;[0.562454, 0.562683];14.4448;[14.3851, 14.5044];0;13.1562;[13.1507, 13.1616];0.58887;[0.588699, 0.589041];17.7925;[17.7093, 17.8757];12.6501;[12.5915, 12.7087];13.6501;[13.5914, 13.7088];1.19399e+06;[1.11811e+06, 1.26987e+06];5.3;[5.14382, 5.45618];2.96571;[2.96448, 2.96693];67434.7;[67414.1, 67455.3];16.45;[16.2886, 16.6114];4.24946;[4.24762, 4.25131];70599.8;[70568.5, 70631.1];27.35;[27.0887, 27.6113];7.90241;[7.87019, 7.93464];11.2638;[11.2172, 11.3103];16661.2;[16608.3, 16714.2];0.033351;[0.0332368, 0.0334653];
